Dose_mg,Dose_route,Schedule,Baseline_target,t_days,measurement
0.04714866363457394,IV,Q3W,10000.0,168.0,9999.934000360086
0.061054022965853265,IV,Q3W,10000.0,168.0,9999.914531650207
0.07906043210907701,IV,Q3W,10000.0,168.0,9999.88931893847
0.10237739663395848,IV,Q3W,10000.0,168.0,9999.856664097422
0.13257113655901087,IV,Q3W,10000.0,168.0,9999.814370594271
0.17166979066078603,IV,Q3W,10000.0,168.0,9999.759587335155
0.22229964825261944,IV,Q3W,10000.0,168.0,9999.688622547275
0.2878615592354568,IV,Q3W,10000.0,168.0,9999.596656609383
0.372759372031494,IV,Q3W,10000.0,168.0,9999.477453625977
0.4826957437677871,IV,Q3W,10000.0,168.0,9999.322931042761
0.6250551925273973,IV,Q3W,10000.0,168.0,9999.12215685118
0.8094001216083124,IV,Q3W,10000.0,168.0,9998.862579964614
1.0481131341546852,IV,Q3W,10000.0,168.0,9998.525291657577
1.3572287829716538,IV,Q3W,10000.0,168.0,9998.08605793054
1.7575106248547911,IV,Q3W,10000.0,168.0,9997.514003997972
2.2758459260747887,IV,Q3W,10000.0,168.0,9996.770471901771
2.9470517025518097,IV,Q3W,10000.0,168.0,9995.798955362074
3.816213407949357,IV,Q3W,10000.0,168.0,9994.531247838579
4.941713361323833,IV,Q3W,10000.0,168.0,9992.871979163298
6.399152336349267,IV,Q3W,10000.0,168.0,9990.696332847863
8.286427728546842,IV,Q3W,10000.0,168.0,9987.836542389985
10.730309405261565,IV,Q3W,10000.0,168.0,9984.065384329313
13.894954943731374,IV,Q3W,10000.0,168.0,9979.106027471313
17.992936232915536,IV,Q3W,10000.0,168.0,9972.533530782299
23.29951810515372,IV,Q3W,10000.0,168.0,9963.825677380573
30.171148105292957,IV,Q3W,10000.0,168.0,9952.19650475885
39.06939937054617,IV,Q3W,10000.0,168.0,9936.682750683269
50.59197488435822,IV,Q3W,10000.0,168.0,9914.869666281294
